,liste_preference
153,[7698 8224 8402 ... 1866 1741 8223]
154,[6983 7690 6141 ... 2983 1278 5813]
155,[8771 6538 1361 ... 9378 6922 5289]
156,[ 445  189 8801 ... 6272 2340 5230]
157,[2849 8848 1341 ... 8065  930 6332]
158,[5179 2430 4281 ... 4600 2088 2163]
159,[6147 6786 8900 ... 9576  628 6329]
160,[9738 5316 8624 ... 6103 4034 7897]
161,[3950 1980 6951 ... 8310 3998 6165]
162,[ 196 5912 3190 ...  227 5721 3504]
163,[ 316 2012 1688 ... 8979 1947 7139]
164,[8254 1180 1998 ... 4040 5714 9395]
165,[9969  662 5066 ... 9518  906 2763]
166,[1319 4091 1097 ...  708 6713 7920]
167,[1293 1675  414 ... 5435 3279 8972]
168,[5064 5946 4565 ...  409 9395 4318]
169,[6101 5961 5082 ... 7875 3062 6913]
170,[5570 3593 3068 ... 6975 6435 1029]
171,[8546 3942 1400 ... 9227 7757 2650]
172,[4455 5296 5428 ... 7482 5170 4004]
173,[4230  628 4843 ... 4542 2275 5468]
174,[5838 5287 4596 ... 7632 3140 8310]
175,[6247 4508 2095 ... 9943 9664 4300]
176,[ 753 6063 8410 ... 9741 7573 7795]
177,[2953 2670 6129 ... 7493  611 4746]
178,[2980 7048  905 ... 1601 4208 2471]
179,[3571 6508 9999 ... 7689 4184 3384]
180,[5251 9537 8076 ...  424 8388   57]
181,[1342 4562 9914 ... 4538 4363 9519]
182,[1806 3627 6953 ... 7972 5653 7410]
183,[ 826 6252 3649 ... 5889 4987 1504]
184,[7180 1486 6879 ... 6000 2656 8066]
185,[8105 6152 4166 ... 6255 6932 4586]
186,[2244 4181  286 ... 5116  667 7488]
187,[3634 5696 5997 ... 4475 2119 5175]
188,[4523 1824 4035 ... 9040 9301 6885]
189,[4116 2523 4147 ... 7966 5422 8689]
190,[5049 9829 8079 ... 3237 7460 4689]
191,[8483 4281 4482 ... 2937  797  784]
192,[7372 2436 6497 ... 2071 5233 2353]
193,[9238 1780 8684 ...  781 6118 2338]
194,[3036 4629 8708 ... 4621 5342 9111]
195,[1062 7782 6209 ... 5563 2965 3721]
196,[4084 1570 4364 ...  952 3065 7378]
197,[2734 9500 3038 ... 2069 3648 2724]
198,[3028 4486 5151 ...  359 3901 5008]
199,[9587 7575  704 ... 6292 7002 5708]
200,[2352 3480  414 ...  395 7012  149]
201,[ 583 4560  119 ... 1809 2874 6709]
202,[6679 5864 2443 ... 7049 2787 4468]
203,[5645 7184 2091 ... 5159 6944 4744]
204,[1057 6295 6216 ... 2006 8285 8415]
205,[ 194 6959 1068 ... 3131 1467 6477]
206,[7835 3887 9586 ... 3815  603 8006]
207,[9694 2311 3001 ... 3665 6095 9746]
208,[5637  508 3960 ... 9584 9996 8408]
209,[1624 8063 1350 ... 8429 9242  958]
210,[ 528 1277 1199 ...  107 2966 6163]
211,[6284 6694 1300 ... 3313 4626  853]
212,[1049 5295 5986 ... 2119 8643 8021]
213,[4283  877 9299 ... 3333 8904 7941]
214,[3153 4252 6494 ... 6644 2938 3383]
215,[1672 6157  186 ... 8629 6221 6652]
216,[5222 5984 4701 ... 5340 8671 4797]
217,[5620 8427 8347 ... 1660  204 5574]
218,[4425 1049 3892 ... 2261 9294 4208]
219,[2535 8694 3057 ... 2975  231 8079]
220,[6179 6505 1047 ... 8232  680 2419]
221,[8525 5296 1914 ... 2985 3524 3815]
222,[3567 2096  160 ... 9347 1865 9984]
223,[6730 1985 1255 ... 6535 7405 3517]
224,[ 437 1266 4555 ...  236 6085 7243]
225,[7824 1869 5754 ... 5208 4601 5425]
226,[7902 1213 3182 ... 4446 7845 3576]
227,[7625 7164 6746 ... 3781 8101 8154]
228,[1080 4388 9572 ... 8822 5091 3712]
229,[2233 8944 6718 ... 6269 3492 2444]
230,[ 284 5007 4808 ... 5520 3934 9585]
231,[9368 3839 7645 ... 6868 3218 2827]
232,[3084 8865  257 ... 1830 9697 9627]
233,[4091 5643 7299 ... 2530 3906 2280]
234,[8290 4331 3888 ... 4487 5192 3382]
235,[ 287 9995 6769 ... 5930 4331 4404]
236,[3846 1618 1017 ... 6203 6569  513]
237,[2042 3144 1846 ... 6121 8907 6242]
238,[2085 2723 6508 ... 3236 2441 2322]
239,[9594 9626 5273 ... 6465 9793 9606]
240,[9837 7535 6101 ... 2127 6165 9501]
241,[1150 6726  226 ... 3483 9193 5991]
242,[9720 5665 7877 ... 8644 4047 1685]
243,[3343 1477 6422 ... 1581 8574 1198]
244,[ 365 4719 8985 ... 7676 4835  640]
245,[1075 8117 5072 ... 8771 9021 7109]
246,[4309 2190 1096 ... 8646  906 3382]
247,[8351 2900 6795 ... 3655 9373 5231]
248,[7619 1216  541 ... 7402 3025 7521]
249,[5754 8868 2058 ... 7286 9675 3311]
250,[7076 7465 4435 ... 5433 2491 2168]
251,[2239 6645 4493 ... 2268  575 8758]
252,[8066 5391 8645 ... 9747 9977 2591]
253,[2802 6221   25 ...  237 2000 9917]
254,[8778 5506 1041 ... 6478 8244 2078]
255,[6422  692 8746 ... 6533 5957 7858]
256,[5615 4686 5793 ... 7263 6908 8995]
257,[2885 9096   28 ... 4077 2607 8906]
258,[4774 6252 3755 ... 6491  250 2940]
259,[ 391 9304 9562 ... 1098 5837 8058]
260,[9076 4875 3394 ...  436  930  163]
261,[3909 5513 2500 ... 5982 7873 3018]
262,[8309 3843 5160 ...  341 3620 4956]
263,[9859 9647 6099 ... 8684 8364 5473]
264,[ 403 1510 9889 ... 7931  199 1621]
265,[ 764 1700 5894 ... 6611 2210 7614]
266,[5760 9926 9704 ... 9295 2965 3242]
267,[4760 5646 1540 ... 1311 9859 9739]
268,[  43 4470 9036 ...  948 3845 6645]
269,[6097 4707 6058 ... 8595 1432 4329]
270,[1610 3381  371 ... 2295  828 8101]
271,[2215 9556 1324 ... 9800  671 1419]
272,[9544 8532 3854 ... 4365 8728 8608]
273,[4607 3218 4591 ...  635 3910 8451]
274,[7516 3771 5825 ...   59 3765 3788]
275,[7784 5919 1961 ... 4185  672  833]
276,[  58 8637 7913 ... 6731 1765  204]
277,[9031 1532 8350 ... 5316 7313 1812]
278,[5454 8595 7079 ... 1175 4016 9036]
279,[3609 3743 7237 ... 7844 2930 2795]
280,[7194 6675 1097 ... 6209 5114 6886]
281,[6298 6283 4838 ...  391 7525 5612]
282,[7047 5906 1010 ... 9723  794 3116]
283,[1373  163 2498 ... 4981 8264 1951]
284,[3274 9575 7542 ...  872 8000  576]
285,[7089 9600  574 ... 3014 6941 8233]
286,[1045 3185 1541 ... 5594 1428 2530]
287,[2073 1870 2272 ... 1796 7305 2835]
288,[4848 3173 4427 ... 7064 8139 3748]
289,[1461 9291 1903 ... 7813 4768 8672]
290,[9782 2913 6413 ... 2094 4041 8191]
291,[3785 5033 7678 ... 6860 5030 2618]
292,[5788 4065 8130 ... 2617  828 8388]
293,[6138 2700 1718 ... 6887 8863 7000]
294,[6160 5635 5236 ... 2361 5011 1519]
295,[ 101 4732 6757 ... 6106  751 8614]
296,[4400 9558 3419 ... 7539 7441   36]
297,[ 773 9094 1021 ... 2438 3889 6585]
298,[6798 9479 9149 ... 7106 8254 7938]
299,[2498 3912 4101 ... 6202 2139 3081]
300,[3990 3772  740 ... 7419 3131 2676]
301,[6703 1185 6699 ... 3208 5789 5795]
302,[ 555 9397 5076 ... 2076 8994 6973]
303,[6283 7984   77 ... 5826 7986 2447]
304,[8693 8514 3591 ... 6130 6119 5164]
305,[ 976 4756 1329 ... 5007 9986 6082]
306,[8767 1446 2392 ... 6844 5994 4302]
307,[3997 8965 1644 ... 5103 7142 8311]
308,[8426 1204 6823 ... 4555 9639 1806]
309,[4799 8585 4138 ... 1549 4232  702]
310,[2224 6195 2456 ... 8611 7351 9226]
311,[2063 2548 2226 ... 1881 6591 4981]
312,[1572 2709 9109 ... 4905 5833 7611]
313,[5373 5480 6928 ... 4266 9830 9562]
314,[2360 1650  486 ... 2335 6098 8475]
315,[3728 5144 3913 ... 8938 7030 6966]
316,[7760 5885 4305 ...  782 9834 4691]
317,[  90 6972 6374 ... 2742 1394 7791]
318,[6655 2749 2740 ... 5055 5314 2225]
319,[8763 7427 1096 ... 1526 3320 2683]
320,[6581 1764 1425 ... 8171  246 8917]
321,[6638  125  773 ... 5002 9396 1722]
322,[1063 3920 3225 ... 2155 9231 1142]
323,[5537 4162 9491 ... 9660 2918 3325]
324,[8517 5245 5704 ... 1370   12 9431]
325,[8638  573 2025 ... 3948 3682 2214]
326,[6021 1693 2815 ...  301 1824 3676]
327,[9286  924  931 ...  620  319  836]
328,[ 190  902 6620 ... 6508 2633 1341]
329,[ 506  889 2399 ... 2810 8869 6615]
330,[7711 2975 9566 ... 9078 9819 1011]
331,[8064 3425 6380 ... 3990 9018   81]
332,[ 607  656 4632 ... 7677 1915 3085]
333,[ 416 7362 4353 ... 7649 7567 5648]
334,[6098 6498 4599 ... 9558 6746  555]
335,[5970 2277 7576 ... 8876 7306 7044]
336,[4039  745 7761 ... 6107 1121 4168]
337,[8936 8121 1163 ... 9535 1151 5441]
338,[2472 4101 6862 ... 1203  517 2216]
339,[3491 7008  329 ... 2141 4813 9956]
340,[8774 5888 4062 ... 7535 3062 2184]
341,[3742 5840  497 ... 9361 6722  867]
342,[8233  992 1202 ... 3105 5441 9885]
343,[2603 6743 5378 ... 4043 7466 9352]
344,[ 806 4029 3842 ... 2882 3021 4125]
345,[6837 9656 3869 ... 1178 4651 4121]
346,[6231 4096 6198 ...  398 2642 4273]
347,[5205 3319 9307 ... 3951 6462 2599]
348,[4728 7526 4383 ... 6354 5472 1785]
349,[2457 4551 1120 ...  928 2818 3020]
350,[9401 6264  282 ... 3944 8636 1856]
351,[4057 6041 7824 ... 4050 4885  431]
352,[ 915 1498 1242 ... 5087 9290 2442]
353,[2460 5546 8255 ... 5115 7932 2995]
354,[7779 9248 4542 ... 5072 5334 4317]
355,[7741 7627 4081 ... 8791 4754 2013]
356,[4255 8724 3976 ... 1824 3377 6603]
357,[4936 4175 2651 ... 4963  853 6450]
358,[7097 9697  380 ... 3329 6830 1608]
359,[ 509 7170 9884 ... 1727  197 1522]
360,[6969 1395 6152 ... 5073 6774 1717]
361,[6800 8150 5070 ... 9806 2985 6950]
362,[6067 9990 7933 ... 5498 7106 6955]
363,[6397  856 6211 ... 3762 1403 4517]
364,[2221 6352 3663 ... 2913 2721 3931]
365,[7614 8836 9494 ... 5282 5885 1390]
366,[8317 5703 8002 ... 4783 4368 1502]
367,[5129 9424 5218 ... 1007 4923 6425]
368,[5709 7722 4789 ... 6676 5097 4597]
369,[5523 9763 3197 ...  763 4176 1943]
370,[8204 4513 4324 ... 6107 6843 3851]
371,[9681 6184 4337 ... 8688 5926 3082]
372,[ 776 5367 2999 ... 7301 7308 9717]
373,[3391 4748 5606 ... 5643 5172 9931]
374,[6016 6033 7029 ... 2064 3376 4783]
375,[4338 7264 5295 ... 2195 2798 6640]
376,[8027 1951 7406 ... 3444 2251 8681]
377,[9938 9205 1533 ...  924 1668 3305]
378,[9064 9812 8995 ... 6329 2184 6673]
379,[5590 4430 1118 ... 4685 5506 8514]
380,[3286 6213 5922 ... 8038  204 3226]
381,[9383 6888 7302 ... 5075 5367  288]
382,[7781 8090 1310 ... 7854 1449  518]
383,[9978 7999 1678 ... 4678 3188  911]
384,[5382 6176 5462 ... 3154 5384 4456]
385,[7294  991 7196 ... 8638 4398 8398]
386,[7349 9826 6772 ... 1095 2875 4164]
387,[8139 3879 1096 ...  722 9965 5458]
388,[3815 5358 9092 ... 9915 6454 6836]
389,[5936 4371 1358 ... 7260 7326 3313]
390,[1051 3520  489 ... 2573 1208 7371]
391,[8003 9919 9916 ... 8824 9378 7496]
392,[2207 4402 3832 ... 8262 2671 9832]
393,[3632 5344 2842 ... 7721 5224 9799]
394,[4074 4160 7809 ... 9337 1709 4166]
395,[1790 9104 7685 ... 3825 8505 5248]
396,[5322 3554 6101 ... 5480 1186 4020]
397,[7226 2296 1319 ... 1495 9103 5480]
398,[9593  850 8444 ... 2436 4541 8782]
399,[3536 8765 7738 ... 6435 6457 1997]
400,[7152 6027 8223 ... 7377 4874 9725]
401,[6222 2677 4222 ...  184 2949 3750]
402,[9678 2665 5463 ... 6827 1200 4324]
403,[4968 4115 8966 ... 9403 5803 2553]
404,[3780 5493 6944 ... 9019 5306 1453]
405,[1509 9338 3931 ... 6591 8279 4160]
406,[7233 8683 8231 ... 8574 3267 9364]
407,[3487 5920 5749 ... 3457  432 7760]
408,[9150 3415 6757 ... 9699 9975 1009]
409,[4610 3475 7140 ... 6066 7998 8406]
410,[ 890 3889 5512 ... 3369 8747 9116]
411,[4384 4918 6634 ... 9436 4362 1335]
412,[4432 8764 8059 ... 3041 6657 1652]
413,[3692 2533 1768 ... 3813 3893 2113]
414,[6396 5897  614 ... 6146 8722 6801]
415,[3261 9879 1048 ... 4573 4098 9224]
416,[4165 3863 8914 ... 9003 5138 1258]
417,[  61 6849  410 ... 4249 4682 5684]
418,[3537 1902 3873 ... 6214 4276 4776]
419,[7479 5340 3177 ... 1743 1301  643]
420,[4672 5235  951 ... 8651 5962 8645]
421,[6163 6079 9036 ... 4392 8535 2200]
422,[6049 4180 1117 ... 1145 1458 5331]
423,[7526 4682 3699 ... 6295 5981 6700]
424,[ 278 4779 1742 ... 3692 2663 1340]
425,[2115 7669 9866 ... 2245 4060 2034]
426,[5287 8265 8538 ...  530 1367  125]
427,[2376 7847 4641 ... 2875 1959 8450]
428,[ 130 2438 8255 ... 7340 6079 2663]
429,[1027  210 5351 ... 2039 7559 7269]
430,[2603 8274 9320 ...  432 6972 7241]
431,[4705 9617 8009 ... 8919  848 2903]
432,[7509 4935 8939 ... 3879 4107  965]
433,[1743 1867 9415 ... 3609 5276 3867]
434,[6726 8084  102 ...   35 9237 1377]
435,[9947  376 9668 ... 6675 1901 7760]
436,[2580 1166 8074 ... 2321 2259 2044]
437,[2556 4181 2455 ... 2462 8899 2671]
438,[1950 3730 2006 ... 6411  996 8173]
439,[5336  927 6282 ... 7666   50 7751]
440,[2466 9415 4133 ... 9906 2478 5629]
441,[4408 7134  879 ... 6988 2446 2332]
442,[8248 8876 7494 ...   62 4296 1676]
443,[3606 1242 3999 ... 5968 7269  622]
444,[9473 1769 5557 ... 8399 9636 5054]
445,[6846 2825 2732 ... 8262 6343 1968]
446,[7606 7364 7877 ... 4551 4674  919]
447,[8666 5339 6355 ...  674   48 3257]
448,[9785  750 1900 ... 8870 4138 9330]
449,[9759 9283  827 ... 4787 8297 4420]
450,[ 845 5547 6352 ... 9581 1722 4533]
451,[ 919 9155 3834 ... 9413 8724  687]
452,[8589  925 1692 ... 2518 8899 7565]
453,[3151 3615 3933 ... 9965 8042 4123]
454,[2031 8348 4808 ...  822 1096 1966]
455,[ 135 7240 2682 ... 6973 4472 8951]
456,[1336 8073 5891 ... 1983 5237 9274]
457,[7081 7250  386 ... 8809 7694 3760]
458,[5538 2491  301 ...  749 2198 2928]
459,[ 989 2232 2201 ... 4277 8758 9466]
460,[ 809 7787 8615 ... 1982 8536 4525]
461,[ 616 9454 7810 ... 3888 7887  290]
462,[4880 4776 2433 ... 6265 4013 4596]
463,[9975 6800 7588 ... 6248 3941 1918]
464,[3633  152 6774 ... 5729 3206 4430]
465,[6598 7178 9816 ... 8307 9785 5608]
466,[4532 1257 2839 ... 6424 5623 4671]
467,[5663 6450 5523 ... 1875 1711 5979]
468,[8092 1400 5098 ... 9474 1313 6217]
469,[2551 6437 6181 ... 2371 3847 9700]
470,[5367 6386 5388 ... 5268 6354 1566]
471,[1139 3834 3503 ... 1786 4725 9917]
472,[1277 5621 1510 ... 1889 6590 7749]
473,[8519 1362 1028 ...   91 3616 4290]
474,[7679 1007 8019 ... 8990 6412  977]
475,[5623 7304 8523 ... 3032 1982  585]
476,[2235 7204 9603 ... 9586  476 6626]
477,[3887 9797 5360 ... 4976 1319 5137]
478,[8015 2268 7456 ... 4753 5267 6267]
479,[5350 2362 1425 ... 5055 1586 2210]
480,[1199 6587  706 ... 5183 7693 8095]
481,[8860 8583 1725 ... 3653 3062 1729]
482,[3446 7516 2630 ... 8059 8739 3850]
483,[3699 8064 3616 ... 2519 2237 6542]
484,[7475 5598 3744 ... 1613 7124 4460]
485,[3458 4065 1544 ... 1575 6661 6652]
486,[9446 5378 4963 ... 1402 5550 1539]
487,[6696 4477 1502 ... 8582 6442 9373]
488,[8138 1093 6048 ... 4204 1613 9279]
489,[4795 6688 2034 ... 9720 9000 4339]
490,[8704 2146 6906 ... 8664 6831 6973]
491,[7995 4091 8851 ... 2111 4319 5196]
492,[8740 6503 1219 ... 4283 5010 9970]
493,[7464 4713 2448 ... 6821 6107  377]
494,[3814 8331 9512 ... 9401 1533 5477]
495,[7229 1850 5557 ... 5016 3179 2420]
496,[5574 2370  541 ... 3811 7459 3706]
497,[3023 1549 7540 ...  956  398 4695]
498,[9470 1297 7585 ... 8722 1313 9621]
499,[5339 6650 8762 ... 2765 3253 1487]
500,[2272 3193 3326 ... 4536  691 8113]
501,[3919 1241 5924 ...  162 8300 4878]
502,[3045  752 7504 ... 2838 5224 9221]
503,[7132 6989 2701 ...  873 6587 4847]
504,[2058 7956 7478 ... 5621 2001 2999]
505,[3106 6181 8496 ... 6083  802 5361]
506,[7496 9563 7142 ... 6619 5019 1529]
507,[2151 6513 5154 ... 3054 7097 4429]
508,[8614  434 5679 ... 3893 8679 9111]
509,[ 805 3826 5214 ... 6904 7178 1579]
510,[7532 2642 6431 ...  173 2950 7156]
511,[8372   59 1402 ... 8678 3836 6689]
512,[1414 5528 6880 ... 7142 7993 8117]
513,[5774 9990 7683 ... 8874 3193 3646]
514,[4356 6399 7607 ... 5328 9854 1176]
515,[1602  137 5090 ... 8648 7814 8630]
516,[5698 2160 7650 ... 9785 3779 1861]
517,[9970  284 7418 ... 9110 3260  594]
518,[   7 2501 5619 ... 8159 5005 7584]
519,[1377 5397 4516 ... 7692 8824  103]
520,[4402 2087 6487 ... 8210 1224 1729]
521,[2069 9142 7015 ... 8002 9329 1613]
522,[ 349  956 3154 ...  852 5323 8548]
523,[1698 4594 8876 ... 7895 8604 6476]
524,[4991   30  869 ... 9748 1179 4108]
525,[6314 8451 5749 ... 2504 1794    5]
526,[1798 6042 7710 ... 4639 4654 4045]
527,[5410 6754 5207 ... 9151  896 3291]
528,[ 430 2755  519 ... 2980 7787 2165]
529,[4144 2083 2008 ... 9294 4922 8916]
530,[2984  538 6612 ...  351 6940 3808]
531,[1846 3383 7668 ...  781 6706 9890]
532,[4231 7251 3290 ... 4156 4834 1422]
533,[6444 7147 5067 ... 6630 4634  545]
534,[1479 4003  920 ... 2234 3223 4509]
535,[8323 2780 3085 ... 1602 9940 2696]
536,[5578 1499 9890 ... 6765 7556 1002]
537,[4613 9594 6795 ... 8970 6441 1668]
538,[7815 7697 7389 ... 9384 6461 6001]
539,[3986 3418 6392 ... 9074 8391 4686]
540,[2054 4426 1447 ... 4717 5038  451]
541,[2253 8700  991 ... 6218 4188 3800]
542,[9811 2757 8552 ...  359 4410 4387]
543,[8152 6829 9559 ... 7705 1822 4247]
544,[1331 6847 7955 ... 3988 6754 4853]
545,[2381  579 5342 ... 7239 2956  220]
546,[7740 3890 8006 ... 7856 5463 3083]
547,[4770 3626 4152 ... 3235 9330 5066]
548,[1984 6301 4794 ... 8374 3738 8554]
549,[ 914 8590 1699 ... 4616 8227 5222]
550,[1735 5041 3938 ... 1004 2950 8292]
551,[1199 2582 5367 ...  960 1469 3369]
552,[8549 5145 4869 ... 7653  362 7896]
553,[7487 7628  732 ... 7599 1632 9255]
554,[5158 9676 6591 ... 1918 7153 4916]
555,[9023 5569   75 ... 1224 8189 7539]
556,[3453 9668 7276 ... 3095 8535 4384]
557,[1720 4105 7849 ... 3718 9414 3542]
558,[4955  881 2312 ... 4134 9439 6619]
559,[7098 8616 2825 ... 6278 9229 9846]
560,[9459 9214 4539 ... 5861  562 6980]
561,[8847 9569 2352 ... 7765  565 1051]
562,[9978 4741 8662 ... 9906 1467 5330]
563,[6373 2120 4853 ... 8370 7945 4830]
564,[3913 1702 5108 ... 9588 5898 7830]
565,[4822 2038 1460 ... 7198 1326 6553]
566,[ 218 9295 3135 ... 3221 3380 8633]
567,[7938 5316 8620 ...  709 8023 5574]
