,liste_preference
13,"[ 0 96 50 17 52  4 99 58  3 95 70 37 55 92  9 47 64  7 13 54 20 82 78 18
 34 16 30 87 73 26 72 19 29 35 45 25 22 86 24 65 98 90  5 69 36 49 85 94
 53 62 59 41 61 81 97 57  1 56 38 74 21 14  8 43 46 15  2 77 32 91 39 44
 66 11 48 83 51 63 76 67 80 75 33 10 93 12 28  6 79 31 23 71 88 60 40 42
 84 27 89 68]"
14,"[39 49 69 86  9 91 11 95 78 98 57 37 87 88 38 56 43 14 89 23 30 29  6 60
 74 93 81  8 27 70 25  2 75 18 41 71 51 35 36 82 40 15 65 12 55 76 62 22
 45 58 53 63 10  7 80  5 67 24 92 13  0 68 61 84 46 19 28 77 32  4 73 33
 90 34 94 99 85 72 44 83 64 31 21 42 16 50 48 20 52 97 66 54 96 59 79 17
 26  1  3 47]"
15,"[46 75 84 66 30 28 83 77  4 40 34 63 78 53 79 31  6 88  8 76  9 70 20 19
 92 22 38 16 81 37 97 86 85 55 10 93 65 87 67 62 17 45 15 39 69 21 14 80
 99 23 89 29 73 47 61 60 32 18 94 90 48 49  5 50 95 58 52  2 44 24  3 25
 43 35  7 64 71 72 51 41 12 56 82 13 74 96 33  0 11 36  1 98 54 42 91 27
 59 26 68 57]"
16,"[62 18  3 90 86 27 94 17 54 98 80 92  0 46 39 10 70 51 29 84 68 42 81 21
 93 87 97  6 71 58 13 82 72 60 69 28 45 37 89 40 47  1  9 79  5 20 24 78
 25 50  4 15 48 16 11 96  2 64 34 83 91 22  8 49 38 73 63  7 44 67 99 95
 74 88 19 41 57 66 76 43 85 53 33 75 52 12 30 14 23 77 32 59 61 35 65 56
 26 36 55 31]"
17,"[79 43 91 25 63 83 69  6 67 32 10 81 76 21 48 29 50 28 15 62  0 33 54 41
 73 47 72 59 97 61 56  3 51 46  1 11 98 57 31 18 38 12  4 90 22 55 60 93
  2 42  7 45 85 37 23 19 82 24 75 64 71 78 94 26 99 49 27 95 70 77 68  9
 17  8 74 14 52 13 80 44 92 20 36 30 96 53 16 66 35 87 84 89  5 58 34 39
 65 88 40 86]"
18,"[56 79 34 47 88 62 30 39 67 90 17 99 72 21 35 64 38 81 74 51 10  0 24 23
 22 31 55 75 93 48 41 89 76 11 69 19 61 98 32 45 60 25 18  4  5 53 49 66
 96 87 63 42  3 77  8  6 36 80 29 28 78 95 57 82 94 40 92  2 14 85 50 68
 65 12 15 91 20 86 73 83 71 97 59 16  9 26 54 58 70 52 13 27 46  7 44  1
 43 33 37 84]"
19,"[67 35 28  6 85 96 99 59 52 42 81 14 31  7 33 25  2 51 50 54  5 78 64  3
 84 23 66 12 77 22 56 62 32 94 29 58 15  4 53 27 49 46 61 79  0 69 47 88
 93 10 92 97 73 76 57 34 44 20  9 74 55 68 11 63 48 43 38 41 18 82 19 21
 26 90 13 83 80 16 87 70 37  8 75 60 98 45 91 17 39 89 72 65 95 71 36  1
 24 40 86 30]"
20,"[ 7 83 88 80 66 59 94 60 42 79 40 56 46 34 53 82 85 61 91 92 17 36  2 23
 75 81 62 89 51 95 49 37 12 32  1  3 76 20 96 50 21 68 47 33 29 45 86 84
 38  6 30  4 28 24 77 41  9 70 31 14 13 99 10 15  0 97 44 63  8 87 52 72
 69 98 90 26 43 71 25 39 18 22 58 16 74 73 67 54 19 64 48 11 93 35 27 65
 57 78  5 55]"
21,"[23 98 85  1  0 74 87 50 34 40 76 31 51 97 58 88  7 11 66 77 79 37  5 73
 33 90 68 41 15 20 12 65 28 35 36 62 99 56 80 57 30 10 39 55 13 24 83 47
 38 86 52 26 71 75  3 42 95 32  4 67 18 94 84  8 72 96 17 63 93 25 14 44
 92  2 54 45 19  9 53 49 64 48 91 21 22 27 82 16 61 81 46 29 43 70 78 60
 89 69  6 59]"
22,"[89 61  2 51 43 21 22 41 66 24 33 25 17 64 29 69 36 75 42 83 59 68 16 52
  0 76 60 54 86 19  8 55 72 14 96 46 28 31 82 79 37 18 12 34 98 40 32 78
 11 88 49 20 57 48 70 38 58 87 65  9 63 85 62 45 91 15 67 39 27 94 74  1
  5 44 90 84 53 95 77 47 56 80 13 26 81  4  6 71 50 92 10 93 23 73 97 99
 30  7 35  3]"
23,"[47 69  2 82 88 71 94 62 35 40 10 21  8 85 80 76 73 19 45 54 28  4 33 44
 60 18 15 51 29 70 67 97 25 11 81  3 16 30 41 27 56 89 98 43  0 61 78 50
 83 95 74 20 38  6 53 93 58 22 13 72  9 86 31 90 49 92 64 77 46 48 26 65
  7 96 37 66 52 79 12 32 39  5 55 24 36 84 23 57  1 42 14 75 99 17 91 68
 87 59 34 63]"
24,"[93 64 16 21 76 71 88 53 75 30 52  3 34 28 38 40 14 36 67 45 95 90 84 31
 23 51 25 62 54 22 83 10 46 96 87 13  6 82 32 78 19 11  9 59  1 69 63 27
 39 26 15 48 94 86 49 68  8 50 57 79 47 58 72 17 12 97 24  2 37 41 65 92
 89 44 80 99 33 18 29 98 70 20 43  5  0  4 61 74 81 85 55 66 77 91 56 42
 73  7 35 60]"
25,"[52 49 11 27  3 35 58 53 98 57  5 62 56 10  9 83  4 50 77 69 95 97  6 90
 82  2 47 55 28  8 63 37 73 23 29 71 22 32 18 84 40 68 19 88 79 78 26 39
 64 81 51 66 12 30 36 24 31 85 45 72 67 59 13 43  1 60 54 87 33 80 74 42
 86 20 92 15 34  7 89 99 70 96 38 17 76 94 25 48 14 46 44 75 65 61 93 21
 41 91 16  0]"
26,"[56 62 34 40 63 64 39 99  3 89 85 86 51  4 43 94 60 23 35 15 90 30  6 71
 55 21 91 74 25 68 48 78 69  1 75 83 42 73 93  7 58 95 57 66 61 14 18 36
 88  8  5 87 10 59 37 50 27 41 92 45 76 97 82 67 47 80 98 28 24 16 49 29
 33 84 72 54 12 20 79 17 19 65 11 81 44 13  2 52 26 77 38  0 32 96 70  9
 22 46 53 31]"
27,"[50 75 19 32 86 87 11 28 56 76 47 53 38 46 83  5 23 33 40 30 64 39 63 12
 98 35 96 49 67  3 60 37 45 81 74 61 27 66 58 68 42 79  8  6 16 20 84 69
 13 92 59 82 85 78 80 71 62 24 22 55 26 89 95 77 99 93 41 48 44 36 54 65
  4 91 18 31  7 97 21 90 14 52  2 43 34  1  0 15 29 94 73 88 51 72 70  9
 17 25 10 57]"
28,"[87 19 77 64 57 31 47 28 76 95  2 34 58 16 45 38 72 90 70 66 92 83 17 80
  6 46 71 75 86 52 23 42 94 55 81 54 53  9 41 40  8 84  1  5 73 60 78 14
 69 48 27  0 11 44  3 91 79 62 13 51 20 12  4 89 88 21 37 97 68 50 67 18
 26 32 25 33 82 85 98 36 49 30 59 15 56 10 29 24 22 63 43 65 35 93 99 96
 39 61  7 74]"
29,"[14 45 50 81 47 12 62 44 39 63 37 80 54 86 29 83 33 90 60 20 65 76 52 40
 64 56 18 89 79 30 36 58 11 27 71 53 69 51 59 16 22 75 66 42 49 94 78 98
 13 68 34  9 67  2 15  6 24 46 96  1 41 35 38 72 57 28 70  5 93 97 61  0
 88  4  3 21 23 26 48 95 55 25 92 19 73 87 99 10 82 74 31  7  8 91 85 17
 84 32 77 43]"
30,"[69 92 53 16 42 52 39 25 61 59  4 50 36 55 65 82 86  6 19 41 74 48 94 31
 11 70 95 45 12 14 88 34 47 49 97 68 40 98  2 84 87 21 29 71 28 56 22  8
 89 72 43 27 44 20  0 64  9 99 93 18 79 62 63  3 58 57 15 32 51 10 80 35
 30 90 91 54 96 83 33 78 66 85  7 60 73 37 81 38 26 75 76 24 46 13  1 67
 23 77 17  5]"
31,"[43  5 34 39 48 10 37 95 93 17 49 96 61 81 88 97 59 80 26 82 98 29 32 50
 45 94 64 22 89 51 21 16 36 74 86 78 13 24 69  2 53 90 44 38 67 70 52 57
 12 75 92 87  9  8 25 33 79 42 63  7  4 41 58 54 83 76 30 11 20  1 31 60
 23 55 91  0 99  3 85 62 18 56 19 68 14 40 71 84 65 73 46 72 35 28  6 47
 15 27 66 77]"
32,"[62 74 12 72 21 61  8 38 51 22 16 43 49 55 97 88 89 95 65 35 30 90 10  9
 80 83  1 18 96 46  4 86 77 44 50 15 82 33 40 63 71 41 56  6 52 69  3 66
 32 47 29 87  2 79 14 92  0 84 31 39 68 70  7 45 53 13 27 73 24 42 60 59
 98 20 78 67 64 34 76 57 48 81 91 75 58 85 36 19 37 23  5 28 54 93 25 11
 17 99 94 26]"
33,"[86 64 88 84 83 40 13 34 59  3 47 16 42 93 82 18 89 43 52 20 70 54 46 51
 96 30 97 87 79 60  0 65 74 49 48  4 24 10 53 45  6 35 92 25 15 73 67 44
 32 56 41 95 11 75 19 85 50 37 68 81 63 57  1 62 22 29 94 72 78  8 27 76
  2 12 28 31 21 61 71 77  5 58 33 69 14 98 39 80 91 66 99 17 26 36  7 23
 38 90 55  9]"
34,"[98 30 47  4 97 43  7 48 56 82 36 81 73 86 18 78 87 67 88 28 54 27 80 16
 62 17 34 89 93 68 79 37  3 39 53 92  1 32 12 46 38 96 31 70 19 26  0 57
 10 65 33 13 76  2 45 64 90 44 71 59 83  9 55 61 20 94 14 35 23 99 58 21
 11 72 63 22  6 91 24 15 52 50 66 85 84 49 40  5 95  8 60 51 69 41 74 42
 75 77 25 29]"
35,"[ 4 38 40 62 94 12 60 52 24  3 29 95 19 97 91 39 73 21  7 65 14 22 72 33
 84 20 31 90 41 69 56 68 99 75 17 15  9 30 54 59 87 34  0  5  1 79 88 32
 74 27 96 81 28 53  2 42 64 61 77 70 37 85 45 26 49 46 47 36 67 63 80 43
 44 55 82  6 50 11 78 58 18 89 23 51 13 83  8 86 66 71 25 57 16 92 76 48
 35 10 98 93]"
36,"[44 96 21 32 66 88 74 35 24 40 12  3 11 65 82 93 98 87 97 89 26 41 78 38
 28 84 18  7 94 23 14 47 42 50 37  9 69 43 59 15 31 90 17 34 16 36 68 22
 86 25  2 27 39 33  5 45 29 54  0  4 58 92 60 63 70 72 67 91 71 13  6  1
 56 20 46 99 75 85 30 49 77 81 52 62 76 10 95 61 83 19 57 73 48  8 53 64
 80 51 79 55]"
37,"[62 14 30 71 16 84 75 79  1 46 87 51  7 55 27 26 61 21 48 13 95  9 31 34
 53 25 42 77 98  2 54 15 69 20 39 63 91 89 23 22 36 74 28 82 40 11 41 92
 56 93 32 65 68 76 86 43  0 35 67 37 45 99 38 59 85 50 72 12 90 64  4 44
 96 10  8 81 24 97 33 88 18 57 29 47 70  6 52 73  5 83 66 17 60 94 78 19
 49 80 58  3]"
38,"[ 7 87 35 86 33 54  1 39 95 47 25 78 51 67 37 97 76  2 28  8 57 31 81 18
 69 68 30  4 94 55 91 29 26 98 21 34 80 42 17  3 36 74 14 46  0 90 82  5
 73 64 24 58 44 43 66 72 79 49 84 88 52 77 63 59 41 70  9 62 65 83 56 23
 45 12 16 10 85 27 99 75 53 96 38 60 15 71 93 19 92 89 48 40 13 11 22  6
 50 20 32 61]"
39,"[ 0 70 62 61 73 97 16 63 76 19 50 94 23 84 10 45 25 22 87 15 93 52 58  5
  4 49 39 27 79 83 18 46 82 29 54 28 59 66 56 47 51 91 31 48 42 43 32 90
  9 99 24 20 36 77 86 14 12 21 92 64 68 17 71 65 40 57 67 81 13 44 72 38
 69 98  8 85 11  2 37 78 89 95 80 26 33 35 55 30 60 96 41  6 75 88  3 34
 74  1 53  7]"
40,"[35 41 44 19 75  1 43  6 23 57 52 10 49 60 71 62 96  0 58 76 86 94  7 73
  5  9 18 34 95 25  4 51 70 50 61 40 11 98 84 30 39 20 33  3 12 22 29 83
 48 99 36 55 32 74 67 15 64 68 80 45 78 88 26 65 56 27 16 17 90  2 37 14
 89 42 28 69 87 77 53 59 54 82 38 13 63 66 79 72 31 47 93 21 97 91 81 92
 24  8 85 46]"
41,"[63 27 43  3 32 47 56 79 73 21 42 78 16 23 64 96 50 24 69 83 88 22 67 99
 44 82 84 60 81 70 15 54 39  6  0 12 62 19 80 52  5 48 40 10 58  4 76 89
 25 59 34 20 90 14  1 77 38 65 74 91 55  9 51 37 93 13 45 68 95 36 57 87
 17 98 49 94 29 26 18 33 30  2 35 41 71 75  8 97 92  7 11 31 61 86 72 66
 28 46 85 53]"
42,"[ 5 85 82 48 59 31 65 86 53 13 20 46 88 79 76 11 94 66  4 58 24 12 39 64
 28  2 96 23 89  1 87 72 56 75 71 25 70 37 22 91 80  3 51 35 34 73 67 33
 43 10 69 77  8 50 49 74 55 63 27 52 57 47 81 26 21 54  6  9 68 40 90 99
 17 42 16 36 62 60 78 38 98  0 41 61 84 45 15 29 44 30 18 97 19 95  7 93
 14 92 32 83]"
43,"[15 26 96 37 92 60 95 53 56 82 70 49 29 13 81 27 45 68 59 23  0 89 19 50
  7  4 32 38 28 66 33 43  9 74 78 35 94 98 73 61  5 55 62 63  3 17 72 22
 40 80 75 83 34 31 42 79  1 10 48 90 16 11  6 47  2 44 93 69 58 84 24 41
 21  8 77 65 91 64 36 57 85 76 14 67 99 25 86 52 20 46 88 30 54 12 97 39
 71 87 18 51]"
44,"[36 89 98  4 82 39 75 56 97 17 37  8 93  3 74 38 44 41 27 54 80 33 50 92
 43 12 67 48 35 25 71 65 84 23 99  5 19 73 61 14 40 22  9 51  6 11 58 79
 49 26 16 87  2 88 64 57 46 20 24 68 45 60 30  7 86 29 59 69 13 32 47 21
 72 70 76 77  1 96 18 85 31 91 83 94 62 63 90 78 28  0 81 53 10 42 34 95
 52 55 66 15]"
45,"[51 38 78  2 16 41 10 68 73 39 77 67 75 72 80 22 27 93 34 99 18  5 90 62
 14 83 23 55 45 24 85 59 61 17 13 53 54 58 76 33 48 37 87 28 89 49 98 47
 44 36 29 43  3 66 60 97 35 57 30 84 11 92 79 40 15  9 86 56 74 19 50  0
 70 81 12 25 69  7 31 65 46 96 42 63 21 52 20 94 88 82 64 32  4 95  6 26
 71 91  1  8]"
46,"[23 78 22 71 35 38  6 42 11 10 54 33 21 31 57  0 24 62 44 17 93 25 29  7
 14 70 39 68 56 98 74 53 89 76  5 52 77 15 59 36 82 79 43 87 69 94 41  8
 55 90 19 72 46 63 20 96  9 28  4 40 80 51 12 58 99 81 75 60 83 67  2 73
 27 45 86 18  3 34 16 47 13 65 85 84 26 30 64  1 97 91 32 50 49 88 66 61
 48 37 92 95]"
47,"[29 34 47 18 11 36 89 52  1 53  6 80 77 66 51  8 90 41 84 37 26 76 44 73
 96 98 63 21 97 74 39 57 43 46 64 78  0 68 38 88 67  3 62 49 48 45 94 23
 28 91 12  9 35 31 92 55 13 24 70 14 85 81  7 59 16 19 22 99 65 87 71 50
 95 40 30 54 17 25 56 60  5 32 75 15 10 72 58 27 86 42 82 61 79 83 20 69
  2 93 33  4]"
48,"[16 69 29 98 80 41 72  2 64 67 24  0 53 90 32 82 59 18 35 46 22 68  1 73
 26 76 71 55 74 20 52 31 92 15 75 56 33  9 42 62  4 54 47 94 79 39 14 58
 70 99 63 65 11 40 93 89 17 48  8 45 19 43 81 44 27 49 61 91 84  7 51 13
 66 50 78 87 12 28 38 86  3 88 77 21 34 25 96 60 57 10 36 85 97 83  5 37
 95  6 30 23]"
49,"[34 39  8  5 24 46 15 66 49 40 79 60 29 65 25 32 64 73 42 80 26 27 85 45
  6 35 28 59 70 77 88 95  2 67 48 31 56 57 53  7 58 63 16 43 82 11 86 62
 14 50 54 38 22 84 97 12  1 30 92 33 61 69 13 74 47  4 81 23 44 99 19  3
 83 89  9 37 75 72 90 55 91 78 17 98 76 94 93  0 10 87 41 36 71 68 20 21
 96 52 51 18]"
50,"[15 30 20 63 13 40 87 92  6 98 79  3  0 66 35 50 69 17 38 68 73 71 81 80
 76 95 29 19  1 41 72 33 94 56 24 59 16 27 97 93 85 58 67 70 96 46 22 32
 43 10 60 31 26  8 54 28 77 44 61  9 18 90 37 21  4 11 55  7 12 64 52 23
 78 84 62 34 42 14 48 36 88  5 75 65 86 45 83 51 89 39 91 57 47 49 53  2
 82 74 25 99]"
51,"[28 50 23  3 27 76 65 45 48  2 43 62 38 67 32 56 86 31 85 73 92 33 79 57
 14 10 30 99  7 91 68 69 46 70  5 40 51 36  0 26 59 71 22 75 52 87 53 96
 80 55 17 34 19 63 13 88 18 21 83 97  1 81 25 64 89 82 42 84 61 47  4 39
 29 72 90 44 12 20 24 54 66  6 11 15 16 49 93 37 98 60 94 35 77  9 41 74
 58 95 78  8]"
52,"[89 31 81 95 64 78 88 41 90 80 19 58 76 85 66 93 28 60 13 83 36 92  1 46
 12 51 62 86 54 63 84 23 35 79 77 82 74 38  8 70 14 47 33 43 29 27 39 44
 37 98 26  3 34 18 96 25 69 22 30 48 97 61 15 94 10  0  6  2 21 17 56 40
 24 49 68 42 67 50 73  7 11 16  9 20 52 91 65 57  5 53  4 87 71 59 72 75
 55 99 32 45]"
53,"[68 56 87 21 38 88 64 14 95 57 63 84 94 90 24 32 76 61 92 45 72 48 73 18
 16 77 96  2 25 31 26 79 80 42 99  3 20 66 89 86  8 52 69 43 12 28 10 23
 40 39 35 71 29 60 46 74 97 11 98  5 65  6  4 59 85 41 27 70 93 34 78 67
 53 49  9 82 47 33  7 51 81 15 37 54 22 13 91 83 50 55 62  1 19 75 36 30
 58 44 17  0]"
54,"[51 69 98 40 68 52  3 37  1 28 15 24 20  4 45 36 99 43 80 26 13  8  2 23
 12 49 61 92 77  5 27 97 53  6  0 35 59 55 73 19 50 64 41 56 10 21 63 70
 44 38 42 29 48 93 58 16 71 54  7 74 87 84 76 82 17 67 25 88 72 22 14 95
 47 79  9 11 81 94 85 89 32 91 96 30 46 31 78 18 86 62 57 39 33 75 90 65
 83 66 34 60]"
55,"[ 8 26 21 20 48 97 91 77 56 51 36 66  6 50 82 35 53 11 73 88  1  4 94  0
 72 90 22 39 79  2 12 87 46 85 25 92 59 95 74 98 64 17 19 45 31 49 33 16
 93 30 61  9 57 32 60 29 58 34 13 44 47 67 80 96 37 69 52 24  3 18 71 15
 54 84 23 65 81 99 40 55 27 43 68 83  5 38 70 28 86 10 41  7 89 75 62 42
 63 76 78 14]"
56,"[90 50 56 47 59 99 52 78 38 88 37  1 81  9 36 35 49 75 80 23  4 73 66 25
 87 62 19 30 10  3 84 91 28 72 39 46  0 89 94 17 96 58 63 13 85 14 11  2
 12 55 60 83 67 24 33 42 68 15 61 97 93 27 70 95 71 18 41 20 26 29 32  7
 44 65 54  5 53 77 74  6 79 31 21 34 16 43 86 98 51 76 40 22 57 82  8 48
 64 69 45 92]"
57,"[60 79 55  4 90 43  0 48 30 21 23  1 69  3 67 18 94 37 42 44 97 17 39 59
 24 84 13  9 53 14 89 12 64 19 16 80 46 32 22 71 78 93 65 62 25 81 91 56
 98 40 95 92 15 41 29 63 73 58 20 83 66 72 99  5 31 47 77 52 28 85 74 82
 33  2 26 35  8 38 27 86 34  6 36 76  7 51 68 96 11 45 54 10 50 57 49 61
 75 70 87 88]"
58,"[65 51 34 31 81 50 21 22 45 82 43 68  4 18 52 15 46 35 85 24 64 93 47 96
 48 73 25 28 76 67 56  9 12 53 17 29 98 61 10 36 37 89 74 99 26 62 95 63
 77 49 66 38 87 20 32 54 90 86 91 13 57  7 79 71 16 60 41 80 11 78 72 83
 55  8 19 88  6 92 58 70 97 23  1 39 94 84  3 42 69 59 27 75  2 14 44 40
  0  5 33 30]"
59,"[91  8 55 19 73 86 94 64 58 81 37 27 63 35 99 70 54 20  7 47 96 83 52 79
 13 53  6 82 97 72 80 34 57 39 90 95 76 87 11 51 23 50  9  1 78  2 49 26
 69  5 18 48 60  3 93 16 42 85 66 38 32 22 59 17 31 14 75 92 10 33 29 12
 71 61  4  0 74 45 44 88 46 98 67 43 21 41 56 25 65 84 77 89 68 28 24 36
 15 62 30 40]"
60,"[21 69 59 76 18 94 98 44 83 27 56 90 75 35 13  9 67 36 32 15 77  2  3 37
  1 60 12 41 17 52 95 49 24 28 31 47 71 39 14 99 10 80 53 55  0 16 22 65
 19 50 63 43 40 29  4 70 73 78 81 68 93 58 66 64 42  8 20 54 88 25 51 57
 61 92 11 96 38 79 86 62 23 48 87 46 84 85 91 34 26 74 45 72  6 97 82  7
 89  5 33 30]"
61,"[32  5 20 47 92 29 53 17  2 60 97 88 95 22 49 78 82 99  1 15 84 76 12 51
 25  7 72 39 21 68  0 26 67 93  6 41 35  9 64 58 24 96 59 91 55 56 61 86
 75 81 27 90 16 36 37 98 74 10 80 77 43 14 18 54 73 11 70 71 23  8 28 66
 85 83 42 57 89 31 87 62 79 63 13 34 46 94 48 38 33 50 44 19  4 52  3 30
 40 45 65 69]"
62,"[51 20 18  7 89 99 43 12 70 45  9 86 38 76 68 95 32 16 50 62 47 54 21 33
 93  1 28 56 60 80 82 71 22 52 42 81  5 75 92 39 26 35 58  0 53 69 27 72
 49 91 29 14 98 97 73 11  3 15 55 85 74 94 67 37  4 17 65 88 19 34 13 31
 59  6 63 25 36 30 48 41 57  8 10 83 46 66 44 77 87 90  2 79 84 61 64 24
 40 23 78 96]"
63,"[91 29 52 66 21 74  0 84 93 69 58 37 19 41 72 60 35 57 79 17 63 53 13 38
 16 49 47 10 32  1 34 55  5 65 64 39 67 22 27  2 43 23 28 73 15 96 76 95
 68 42 48 94 61 82 18 92 51 62  8 46 77 78 71 14  6 30 24 81 89 44 86  9
 80 97 83 36 98 12 26 40 50 54  3 70 90 99 25 88 45 75 85 31 87 59 20 33
  4 56  7 11]"
64,"[23 60 92 91 66 35 84 76 58 26 75 61 56 34 90 14 40  8 30 24 12 10  6 55
 25 39 22 81 15 96  3  7 71  1 37 78 32  0 31 64 98 87 63 57 46 72 27 20
 59 95 42 54 44 74 82  4 33 16 21 94 86  2 47 67 70 45 80 51 19 99 11 79
 97 49 73 68 85 65 17 36 29 48  5 43 88 69 77 53 89 52 28  9 13 93 18 83
 50 38 62 41]"
65,"[ 4 78 27 45 43 88 53 67 96 94 80 65  0 93 49 32 58  3 48 37  2 74 30 40
 83 13 75 44 50 10 98 71 28 22  9 64 68 76 91 85 72 59 61 55  8 86 60 84
 18 36 99 38 35 15 62 42  7 19 73 20 21 31 24 92 56 29 11 26 17 57 25  1
 79 33  6 23 63  5 52 54 89 47 82 12 77 34 41 69 81 46 66 39 70 95 16 90
 97 51 87 14]"
